dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
1.0	217027	301804	95428	133234
1.0	82499	117013	82485	116998
1.0	64654	91605	64643	91592
1.0	208030	288788	190438	264715
1.0	103759	145099	103712	145048
1.0	156378	218192	148349	206773
1.0	77796	110534	77518	109937
0.9230769230769231	178632	248332	80146	113894
1.0	145903	203287	145761	203114
1.0	155131	216250	55405	78883
1.0	228920	316984	36154	51840
0.9846153846153847	166453	231997	127963	178600
1.0	114976	160484	9191	13447
1.0	227142	314760	226992	314603
0.9282051282051282	210687	292543	196160	272678
0.958974358974359	187396	260296	187306	260206
1.0	233038	322992	233011	322965
1.0	158147	220651	158128	220631
0.9025641025641026	55609	79260	55586	79237
0.9794871794871794	64385	91214	60973	86805
0.958974358974359	144460	201489	64870	91957
1.0	139286	194111	7335	11036
1.0	139286	194111	7336	11039
1.0	60140	85603	60133	85596
1.0	189499	263044	189493	263038
1.0	23245	33295	23213	33260
1.0	197902	275115	197897	275110
1.0	90744	127424	90741	127421
1.0	50801	72262	3617	5405
